goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  44469394 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  45154383 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  44905540 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      25	  44951860 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      25	  45299740 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      27	  45082985 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  45457855 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  45780193 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  44850727 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      26	  45045489 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     931	   1277721 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     946	   1250160 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     975	   1257743 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     955	   1240624 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     972	   1226886 ns/op	     824 B/op	     100 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     979	   1239424 ns/op	     824 B/op	     100 allocs/op
