goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 104087071 ns/op	 1139516 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      12	  99952175 ns/op	 1128018 B/op	    5999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      12	 100936731 ns/op	 1128026 B/op	    5999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 100280384 ns/op	 1139513 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      12	 103554815 ns/op	 1128026 B/op	    5999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 102445948 ns/op	 1139513 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 104788874 ns/op	 1139515 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 105010389 ns/op	 1139523 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 102445879 ns/op	 1139523 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	      10	 105676459 ns/op	 1139513 B/op	    5998 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     300	   3936674 ns/op	 3499136 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     302	   3973268 ns/op	 3499140 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     306	   4019092 ns/op	 3499136 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     296	   3992586 ns/op	 3499134 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     294	   4068229 ns/op	 3499136 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     300	   4229525 ns/op	 3499134 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     294	   3986908 ns/op	 3499137 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     302	   3979048 ns/op	 3499135 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     298	   3970997 ns/op	 3499137 B/op	    5594 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_20000000-12         	     292	   3926742 ns/op	 3499137 B/op	    5594 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 102356787 ns/op	 1108804 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 101986148 ns/op	 1108803 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 102144034 ns/op	 1108803 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      12	 102361771 ns/op	 1107906 B/op	    2999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 100998916 ns/op	 1108803 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      12	  99348687 ns/op	 1107906 B/op	    2999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      12	  99453530 ns/op	 1107906 B/op	    2999 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 102416317 ns/op	 1108803 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      10	 102890315 ns/op	 1108803 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_1,_Frame_Duration_40000000-12         	      12	  99644946 ns/op	 1107908 B/op	    2999 allocs/op
